Date,Close,High,Low,Open,Volume,Daily_Return,Return_30,Return_60,Lag_1,Lag_7,Lag_14,Lag_30,MA_7,MA_14,MA_21,MA_50,MA_100,MA_200,EMA_7,EMA_14,EMA_21,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,Volatility_7,Volatility_14,Volatility_21,Volatility_30,MA_ratio,Momentum_10,Volatility_change,Volume_change,MA20,STD20,Upper_Band,Lower_Band,ATR_14,Williams_%R,ROC_5,ROC_10,ROC_14,ROC_21,OBV,Stoch_%K,Stoch_%D,CCI
2015-10-21,206.93313598632807,211.22347080445007,206.49976605697344,207.04147485254973,14404450,-0.17770139687933728,14.248105352190477,-6.833827001927162,207.301513671875,193.22787475585932,186.84654235839844,181.1260986328125,200.9046892438616,196.91925375802177,192.683598109654,192.48487701416016,202.07953323364256,195.07520294189453,202.22466119526484,198.02055274095068,195.87970274125615,195.5333368062121,78.50547915882831,3.785688847779511,1.6555860422759954,2.1301028055035154,0.02021269364452749,0.018185913598820935,0.0192210874213372,0.017706704217427132,0.9867213982670848,8.927368164062472,-0.021456843522500435,-0.20381751054823172,192.80427017211915,8.430676345905129,209.6656228639294,175.9429174803089,4.4133857262115805,-17.039590388701896,5.7644382355324115,4.508640461461646,10.750315940768477,6.656238215397792,216541000.0,82.96040961090095,91.24181117326673,162.0227424838096
2015-10-23,207.073974609375,210.84428283498332,203.93206073101337,208.8724576299984,12153422,0.06805996650833812,14.69634137704241,-4.943561027364341,206.93313598632807,193.62876892089844,187.3666076660156,180.54104614257807,202.82543291364397,198.32692282540458,193.48377990722656,192.42745544433595,202.1952424621582,195.1605738067627,203.43698954879238,199.2276756567406,196.89736382017605,195.98591083770867,78.27160698898614,4.151785185065819,2.1548258708339603,1.9969593142318587,0.02031051595812433,0.01823622311062458,0.018529962324186126,0.017661406347918206,0.9859955404454205,14.4202880859375,0.0027664000233074137,-0.15627309616125573,193.9716537475586,8.719032598647786,211.40971894485418,176.53358855026303,4.669537976372196,-16.95440776514549,5.7485810109498265,7.4850828687273445,10.518078535364287,8.831557205976626,228694422.0,83.04559223444593,86.06856824427454,136.14279637453308
2015-10-26,204.30044555664065,208.66661793036457,203.96458058001983,208.42827240561184,10938775,-1.3393904559789949,11.106524904760162,-6.671613869473314,207.073974609375,195.6547393798828,192.41531372070312,183.87799072265625,204.06053379603796,199.17586081368583,194.4635009765625,192.3271304321289,202.29101684570313,195.2345913696289,203.65285355075446,199.90404497672725,197.57037125076374,196.31197102276482,68.24078176359232,4.170048862136014,2.557870469094371,1.6121783930416425,0.022104709106081928,0.01808320354641582,0.016832032009577138,0.017764101577853682,0.9851078596410514,12.025970458984403,-0.008390967980623665,-0.09994279800372274,194.97381820678712,8.695536872682855,212.36489195215282,177.5827444614214,4.569708365025414,-34.24427881815794,3.066261607818821,6.2545849899610495,6.176811817166055,11.19825637856044,217755647.0,65.75572118134743,77.25390767556478,106.20274291584204
2015-10-27,203.5853729248047,205.4705271397162,203.1195013146315,203.4228646181636,11601798,-0.35001031441104224,7.493840855885581,-5.667659304685824,204.30044555664065,195.8172607421875,194.593002319336,189.39259338378903,205.1702641078404,199.81817299979073,195.3838922409784,192.3126123046875,202.3846240234375,195.31541191101076,203.63598339426702,200.39488870313758,198.11718958476746,196.59720246990366,64.4498256156736,4.079793262933748,2.862255027862247,1.2175382350715012,0.022345863346588946,0.018083308706434476,0.01693333824490269,0.017092508581669986,0.9846258952274086,10.35749816894537,5.815342308368443e-06,0.06061218006586655,196.08107299804686,8.28161166899913,212.64429633604513,179.5178496600486,4.509346068624871,-37.78133750324262,-2.4857412256746447,5.360250523912206,4.621117151330963,10.489805081819956,206153849.0,62.218662496262745,70.33999197068538,80.87028609582198
2015-10-28,203.0220184326172,204.74466452842333,201.4943967904804,203.0111845443284,11958727,-0.2767165853293285,8.068060557258416,-6.319039998445364,203.5853729248047,198.2224273681641,198.0057678222656,187.86495971679688,205.85591997419084,200.17647661481584,196.4115942092169,192.32821411132812,202.43717010498048,195.4359457397461,203.48249215385457,200.7451726670682,198.56308311639017,196.84915603706892,58.8731579284719,3.9176468620266007,3.0733333946951182,0.8443134673314825,0.022340108776437814,0.017670093389073733,0.0163991344612709,0.017006165774138757,0.9840984645032761,9.39324951171875,-0.0228506477475392,0.030764972808525082,197.1937454223633,7.5813480270049425,212.35644147637316,182.03104936835342,4.322844320688958,-40.56793261352837,-2.06438205078983,4.85116419634734,2.5333861056281397,11.894680540616491,194195122.0,59.43206738597699,62.46881702119572,62.38557641661057
2015-10-29,203.8995513916016,204.76629120969983,202.5886077783396,202.81613385121244,13280382,0.4322353633163578,9.297853223518239,-6.073774911401786,203.0220184326172,208.7749786376953,192.6536865234375,186.5540313720703,205.15943036760603,200.97975267682756,197.51306951613654,192.2157553100586,202.509217376709,195.54139442443847,203.58675696329132,201.165756497006,199.04821659595484,197.12564212940353,73.63382449181096,3.8159661545828385,3.2218599466726627,0.5941062079101758,0.005665301263853614,0.015580555845520542,0.016267142232295386,0.016908628497032882,0.9829926593074222,8.244812011718778,-0.11825277306373783,0.11051803423558382,198.2798728942871,6.8361720274760716,211.95221694923924,184.60752883933498,4.034965194950841,-36.22727484558311,-1.465973334945692,4.213959773144401,5.837347351666672,12.795908853062986,207475504.0,63.77272515392225,61.807818345387325,60.17518693727683
2015-10-30,205.35134887695312,207.1281497086737,203.7045546870605,204.1379101598204,13366359,0.7120160272267029,9.706545576141101,-5.461621034732522,203.8995513916016,207.301513671875,192.27447509765625,187.18240356445312,204.8808353969029,201.91381508963448,198.61660984584265,192.20275390625,202.64410324096679,195.66720886230468,204.02790494170677,201.72383548099896,199.62122862150014,197.44821886460156,76.29630356522578,3.8086278789471635,3.339213533127564,0.4694143458195996,0.006581656650857713,0.015494208667398292,0.016263846526308703,0.016924510086622303,0.9822941463912285,9.534088134765625,-0.005541983160188391,0.006473985462165155,199.20511322021486,6.448561830736362,212.1022368816876,186.30798955874212,3.9088236586012135,-29.488551314342747,-0.8318890559141687,4.868870138735206,6.8011491242689015,12.720786199890913,220841863.0,70.51144868515509,64.57208040835145,69.18339391538164
2015-11-02,207.9731903076172,208.34155686813463,204.80960904885023,205.6329987868428,7222044,1.276758806310574,10.703555692947276,-2.8542664069410306,205.35134887695312,206.93313598632807,193.22787475585932,187.86495971679688,205.0294145856585,202.96705191476005,199.62264070056733,192.27079223632813,202.80899932861328,195.78660621643067,205.01422628318437,202.55708279121473,200.3804978656926,197.86096284275902,77.78683862186966,3.9686250705367456,3.4650958406094006,0.5035292299273451,0.008448389396170443,0.015639480475969463,0.015714179796966467,0.017013938177140073,0.9820426225871948,9.750762939453097,0.009375877896677709,-0.45968501968262265,200.2354423522949,6.093967870199027,212.42337809269296,188.04750661189686,3.9405532788920032,-16.322219531589216,1.7977174454855975,4.919101773152405,7.631049904362073,11.30695151355534,228063907.0,83.67778046790862,72.65398476899531,79.2356476807817
2015-11-03,209.57666015625,210.28089166022224,208.28739882070752,208.7207687159673,11373522,0.7709983417867994,10.847494724282637,-2.0804912709310064,207.9731903076172,207.073974609375,193.62876892089844,189.06756591796875,205.3869410923549,204.10618700299943,200.68026224772134,192.32539611816406,202.9420428466797,195.92472023010254,206.15483475145078,203.4930264398861,201.21651261937964,198.32040195309202,78.74997317601925,4.1766646095227316,3.6074095943920668,0.5692550151306648,0.008847508858181544,0.015620449596407994,0.01571260482249681,0.017023217179117603,0.9816290455445876,0.8016815185546875,-0.0012168485769530335,0.5748342159089588,201.09350967407227,6.142906869456897,213.37932341298605,188.80769593515848,3.8979913234928643,-9.400200333804337,2.942886881003099,0.3839931029023897,8.236323209732651,11.853794423083237,239437429.0,90.59979966562486,81.59634293956286,97.29150577068816
2015-11-04,206.1314239501953,211.26684592869807,205.02633845443685,209.75005822789012,10033187,-1.6439026194453588,6.243024596910041,-2.824451010399831,209.57666015625,204.30044555664065,195.6547393798828,194.018783569336,205.6485094342913,204.85452161516463,201.33341035388764,192.47707550048827,203.10271392822267,196.05325813293456,206.1489820511369,203.844812774594,201.66332274036287,198.6267165412137,67.96736878470028,4.017227600806791,3.6893731956750115,0.32785440513177955,0.009745566336689986,0.01662256920911689,0.01559873649288917,0.01684903747888087,0.98175912674647,-1.1700897216796875,0.06415433861387321,-0.11784696068640832,201.67043075561523,6.041252994064658,213.75293674374456,189.5879247674859,4.167300838120129,-31.642243001868053,1.531560734930893,-0.5644385807677949,5.354679678865837,7.128388049924942,229404242.0,68.3577569975158,80.87844571034977,69.03954310932681
