Date,Close,High,Low,Open,Volume,Daily_Return,Lag_1,Lag_7,Lag_14,Lag_30,MA_7,MA_14,MA_21,MA_50,MA_100,EMA_7,EMA_14,EMA_21,EMA_50,RSI_14,MACD,MACD_Signal,MACD_Hist,Volatility_7,Volatility_14,Volatility_21,MA_200,Return_30,Return_60,Volatility_30,MA_ratio,Momentum_10,Volatility_change,Volume_change,MA20,STD20,Upper_Band,Lower_Band,ATR_14,Williams_%R,ROC_5,ROC_10,ROC_14,ROC_21,OBV,Stoch_%K,Stoch_%D,CCI
2015-10-21,996.09716796875,1000.821739516428,993.0458821775412,998.0657394469492,1929688,0.12861451861154727,994.8176879882812,1020.7437133789062,1018.9524536132812,1002.9679565429688,988.082292829241,1016.1695600237165,1014.1827276320685,1019.2141296386719,1010.7980480957032,994.4494590768661,1003.226030683988,1007.4442021765319,1011.4753791401486,43.42798834781199,-7.795063840115972,-3.12766958649535,-4.667394253620622,0.019175656124399802,0.0174119075729816,0.014920123253006994,1002.9758212280274,-0.006850456716385067,0.00991926676152377,0.01251840169848274,1.0161901294795532,-48.8009033203125,-0.0017637485514182018,-0.2839970850630259,1014.6726257324219,28.51578385512393,1071.7041934426697,957.6410580221741,22.482515692807187,-76.39651420930136,1.864144905243588,-4.670398449497389,-2.243017872275071,-0.8329457101737332,-30563754.0,23.603485790617793,18.88172500008633,-54.17430351958497
2015-10-23,1001.0883178710938,1005.3694626317556,997.20184144409,1005.3694626317556,2335398,0.5010705845617247,996.09716796875,1023.086181640625,1041.216552734375,999.9359741210938,984.9397408621652,1013.3032575334821,1014.0257539295014,1018.9824401855469,1010.6193072509766,996.109173775423,1002.9410023089354,1006.8663945124011,1011.0680434041072,37.188526318373974,-7.234584329655263,-3.9490525351273336,-3.2855317945279294,0.019335112749487914,0.016217176761303704,0.014965015707072331,1003.0368643188476,0.0011524175345454246,0.01827234738779282,0.012540790864027913,1.0158972979297487,-35.87677001953125,-0.0031179359881842103,0.21024642325598752,1014.9851745605469,28.3205242899253,1071.6262231403975,958.3441259806963,21.404078718829542,-72.3611551272571,3.0362654076203017,-3.4597857187758465,-3.853975885986358,-0.3282056704489105,-28228356.0,27.638844872662048,24.60378440061382,-42.64547147009845
2015-10-26,1000.851806640625,1005.764209661695,992.3882549781443,1005.764209661695,1414630,-0.023625411089778225,1001.0883178710938,977.8682861328124,1067.615234375,1000.1524658203124,988.2231009347098,1008.534441266741,1014.3121570405506,1018.4932580566406,1010.5076837158203,997.2948319917234,1002.662442886494,1006.3196137967851,1010.6674066682845,24.410017283763466,-6.731883788979417,-4.505618785897751,-2.2262650030816653,0.0067307162564384905,0.014121128681755978,0.014808014503123322,1003.0308795166015,0.0006992342109950478,0.015997008135433033,0.012540937052802185,1.0154156555453102,-34.478759765625,0.007390412425317488,-0.3942659880671303,1015.1707336425782,28.209391233334546,1071.5895161092474,958.7519511759091,18.832936399532255,-68.08193408765119,2.8347615036742613,-3.33021750582567,-6.253510214610176,0.6045677099454183,-29642986.0,31.91806591225479,27.72013219184488,-47.5123475825946
2015-10-27,998.7012939453124,1004.146310841468,994.4596446640954,998.2869740516326,1530420,-0.21486824333473153,1000.851806640625,971.5883178710938,1063.028564453125,1003.8731079101562,992.0963832310268,1003.9396362304688,1014.386474609375,1017.4295642089844,1010.3317388916016,997.6464474801207,1002.1342896943365,1005.627039264833,1010.198147345815,24.874556106938627,-6.432864307669206,-4.891067890252042,-1.5417964174171637,0.005830983603059626,0.014135258486159395,0.014811072793763355,1003.0902819824219,-0.005151860254141494,0.011913359499351905,0.012528287450693934,1.014295106316973,-22.042419433593864,0.008304274883099769,0.08185179163456158,1014.3087768554688,28.447010705256638,1071.202798265982,957.4147554449555,18.34369827709506,-69.07352566195165,1.9232445068866049,-2.159446993861777,-6.051320976582203,0.156514427973726,-31173406.0,30.92647433795109,30.16112837428931,-46.244959218818636
2015-10-28,997.91259765625,999.668424694288,990.3959779189888,990.3959779189888,1255342,-0.07897219056828275,998.7012939453124,973.2621459960938,1044.8980712890625,1002.16015625,995.6178763253348,1000.5835309709821,1013.5280064174107,1016.6343420410157,1010.1683386230469,997.7129850241531,1001.5713974225918,1004.9257263913255,1009.7163610834791,28.772341420585647,-6.188196723473652,-5.150493656896365,-1.0377030665772873,0.0060639046355045086,0.01367185721563575,0.014179584883504933,1003.3276431274414,-0.004238402981060485,0.021752278472959574,0.012525341134309535,1.013262565827445,-25.173583984375,0.007607952580131241,-0.17974020203604235,1013.1455657958984,28.626468645734352,1070.398503087367,955.8926285044297,17.03603686293415,-64.60183430259342,0.3111032006504902,-2.460553610841126,-4.4966561738263895,-1.7744969591175048,-32428748.0,35.39816569729242,32.7475686491661,-49.82883134043322
2015-10-29,984.59521484375,1000.3977453535076,982.5039641132366,999.6678449995022,3130316,-1.3345239697121647,997.91259765625,979.8562622070312,1036.965087890625,1004.7589111328124,996.2948695591518,996.8428257533482,1011.7860252743676,1015.0404748535157,1009.8945532226562,994.4335424790523,999.3079064120795,1003.0774980688186,1008.7312180936858,27.437439585325237,-6.988340020027977,-5.518062929522688,-1.4702770905052889,0.008560160405548828,0.01389885123241793,0.014367486048789992,1003.5545538330078,-0.02006819353941225,-0.003968785653344464,0.012744803084689203,1.011445238304721,6.726928710937614,0.005338690826869103,1.4935961674189184,1011.4237762451172,29.28194376725545,1069.987663779628,952.8598887106064,16.673215844086542,-78.02624842802753,-1.15470192014047,0.6879176680880694,-5.0503024314352585,-3.5822987095600785,-35559064.0,21.973751571848275,29.43279720236393,-62.00294597011872
2015-10-30,984.5367431640624,991.1260810365784,980.5121251359666,986.4307093923204,1516696,-0.00593865162110685,984.59521484375,994.8176879882812,1035.33056640625,1004.621337890625,994.8261631556919,993.2146955217634,1010.1434413364956,1013.5907214355469,1009.6138946533204,991.9593426503048,997.3384179790107,1001.3919748956589,1007.7824151552692,27.815175781874757,-7.540258118053998,-5.922501967228951,-1.6177561508250475,0.0057016451088021235,0.013921761868109141,0.014371091527216289,1003.7304745483399,-0.01999220399671553,-0.0035714932118032783,0.0127449073240857,1.0098236001965994,12.948425292968636,0.008220116759307018,-0.515481504103739,1009.7029907226563,29.82247641742284,1069.347943557502,950.0580378878107,16.23333667115805,-78.09887074492539,-1.6533580915447907,1.3327069762778456,-4.906048839888766,-3.385006196766576,-37075760.0,21.901129254950394,26.424348841363695,-65.74623382229397
2015-11-02,993.276123046875,995.4265217442332,981.5178550990968,986.430258520312,1319294,0.8876641672840302,984.5367431640624,996.09716796875,1020.7437133789062,998.9513549804688,994.4231567382812,991.2527247837612,1008.9207589285714,1011.8736193847657,1009.4827069091797,992.2885377494474,996.796778654726,1000.654170182133,1007.2135409549401,37.35742197925068,-7.189585281566565,-6.175918630096474,-1.013666651470091,0.006907266520872553,0.013930454404205544,0.01454836659297724,1003.8170407104492,-0.005681189484651794,0.005553958980721196,0.01282199560122686,1.0080259433218166,20.01397705078125,0.007023187883332991,-0.1301526475971454,1007.3059692382812,29.07345058072485,1065.452870399731,949.1590680768315,15.164028445164506,-57.102054805243775,-0.7569236068202647,2.0563809178356327,-2.6909389665606605,-2.5198752380796643,-35756466.0,42.89794519459357,28.924275340464078,-49.47257872079991
2015-11-03,1003.5742797851562,1005.2907067666878,993.7297262226014,997.4781607666216,1364906,1.036786901379605,993.276123046875,1001.0883178710938,1023.086181640625,1004.1092529296876,994.7782941545759,989.8590175083706,1007.1282697405134,1010.4199609375,1009.3008819580078,995.1099732583746,997.7004454721168,1000.9196346914988,1007.0708248306348,41.632040440570215,-6.011403713779032,-6.143015646832986,0.13161193305395447,0.007838664446409228,0.014278177860726835,0.01384076818501918,1003.9601473999023,-0.000532783801135639,0.0007230984962278697,0.012930551721127646,1.0064343326318548,23.718017578125,0.006439513414317607,0.03457303679088963,1004.1039215087891,25.37269657300699,1054.849314654803,953.3585283627751,14.773579123828531,-5.63527407344014,0.48793226457066174,2.4205609019329493,-1.9071611175687457,-3.6152203737411845,-34391560.0,94.36472592630253,53.05460012528216,-13.947727641847028
2015-11-04,999.7669677734376,1005.0541962352364,994.3218526474824,1004.1861567412076,991434,-0.3793752080347934,1003.5742797851562,1000.851806640625,977.8682861328124,1004.4638061523438,994.6233171735491,991.4232090541294,1003.8973999023438,1009.2582763671875,1009.1966882324218,996.2742218871404,997.9759817789596,1000.8148467898569,1006.784399063686,64.56486615950456,-5.3235381300958124,-5.979120143485552,0.6555820133897399,0.007999018072429606,0.007326932753772409,0.012380871458741973,1004.1071371459961,-0.0046759657741154426,-0.01320453807611588,0.012949502993731524,1.0051300693228136,4.949279785156364,-0.0006720853186571972,-0.273624703825758,1000.9408416748047,21.248275517883226,1043.4373927105712,958.4442906390383,12.206273712944007,-15.432504066505617,0.1858249030569295,0.4975062109284355,2.2394306013571836,-6.3551234955242935,-35382994.0,84.56749593323704,73.94338901804439,-9.251819133488162
