Date,Close,High,Low,Open,Volume
2015-01-01,988.8796997070312,997.2124454266996,987.1121245926154,997.2124454266996,366830
2015-01-02,1002.0487670898438,1006.5162159799831,990.8413543881858,990.9967059779032,925740
2015-01-05,986.82080078125,1009.9932304229714,980.7605701498528,1002.6511118261614,1754242
2015-01-06,950.4403686523438,982.4894683351786,947.8764027408092,982.4894683351786,2423784
2015-01-07,939.2130737304688,963.0847694273436,935.231217337962,959.5302721455606,2636332
2015-01-08,949.3526000976562,951.372645546042,940.3205813108268,948.8086796954548,1565408
2015-01-09,975.962890625,978.915235035014,951.7609503477082,953.703319634132,3197642
2015-01-12,974.9529418945312,982.062033335308,963.512404343314,977.7888203738016,1596006
2015-01-13,970.3690185546876,982.9944216276596,963.4542582839224,978.9543305812168,1468432
2015-01-14,979.7119750976562,983.5384818945994,971.3792268531556,977.4005737902578,1787096
2015-01-15,986.3742065429688,1002.9425819379692,980.2168567347657,984.0044776019662,5009920
2015-01-16,983.6738891601562,988.6658153987692,965.0854748408096,988.1607804931832,5293830
2015-01-19,975.4580688476562,990.9970265353928,972.3502773101088,985.1699174024916,1135074
2015-01-20,971.35986328125,982.8392897645472,964.6781289754198,978.954549488798,2058566
2015-01-21,976.545654296875,979.7311211306728,966.6201277372704,979.7311211306728,2310480
2015-01-22,976.4484252929688,979.4396548489968,969.4364536145448,977.5944041358454,2113214
2015-01-23,972.5833740234376,983.6354384196036,969.6698195336432,976.6234649790448,3150380
2015-01-27,973.9263305664062,978.96711639391,969.0606888348262,977.9356383596412,2738736
2015-01-28,988.542236328125,990.60519135113,974.2566434186824,974.295606545614,3121980
2015-01-29,990.5081787109376,999.8696905011112,978.1494512313316,987.9196958500746,3734392
2015-01-30,966.14111328125,1002.3219990563102,961.450616570519,996.755687006598,5817402
2015-02-02,978.6556396484376,981.4777116893442,958.3562215325323,966.1217662800638,3181802
2015-02-03,995.8020629882812,998.4295090647676,975.891898510394,977.662915765942,2345054
2015-02-04,978.6942749023438,1001.0372549416452,973.9454294447114,999.5970445614164,2245418
2015-02-05,993.5250854492188,1008.822682167612,980.524128663568,980.91338000484,4530168
2015-02-06,1002.6138916015624,1010.0291468051988,992.9215736400498,993.7584258017232,2136416
2015-02-09,978.1494750976562,1000.025472424106,973.1281717442748,997.067124769184,2076432
2015-02-10,950.2210083007812,983.3463401469654,947.0486474329804,977.0210049555204,3799054
2015-02-11,957.5189819335938,968.165040189316,952.594992302062,955.6311706464824,2937522
2015-02-12,958.3945922851562,965.264931466196,952.4974759210888,965.264931466196,3107980
2015-02-13,988.2115478515624,991.7148088779196,957.6553266772256,961.450526122446,4158326
2015-02-16,1006.1365966796876,1010.1069402128448,994.5368910380804,996.483147184926,2364392
2015-02-18,1025.9300537109375,1028.7910885079154,998.5268027979304,1006.2339968147282,2660014
2015-02-19,1043.6024169921875,1046.0352380837044,1025.677372183477,1026.0666235581198,2618002
2015-02-20,1041.4610595703125,1050.511149904304,1028.4989756984476,1050.511149904304,1801588
2015-02-23,1049.6741943359375,1059.5417501171069,1039.6899392221867,1039.6899392221867,1614892
2015-02-24,1052.827392578125,1062.6559873327594,1042.8041721847849,1048.642941345954,2199922
2015-02-25,1040.1571044921875,1059.5418345045937,1038.4639186825727,1054.870819804353,1767994
2015-02-26,1034.0264892578125,1048.1563289835997,1021.9208321069946,1042.804124165653,1991994
2015-02-27,1036.322998046875,1041.5389262535505,1018.397960801105,1035.1941125174667,2877376
2015-03-02,1039.0673828125,1054.4622907428795,1032.5085554229124,1043.0766902112468,2176038
2015-03-03,1080.5616455078125,1086.0111638929384,1041.694863869645,1043.9720220648246,3424308
2015-03-04,1068.8839111328125,1094.6134562562916,1057.0700979186554,1085.232463306002,3862994
2015-03-05,1049.596435546875,1078.498338697529,1043.6020047580723,1070.4408574316328,2173514
2015-03-09,1030.2698974609375,1043.1151845959682,1015.9454370433488,1027.622970802468,2883174
2015-03-10,1028.6744384765625,1042.5123418298622,1010.2044824545692,1031.0877776403531,3037052
2015-03-11,1014.6029663085938,1035.3889471275374,1011.1970175299806,1028.4019054966786,2240200
2015-03-12,1019.4685668945312,1021.7456298253392,1008.1997615328072,1021.3563785518286,1827636
2015-03-13,1005.182861328125,1027.603673138834,1002.3218270323276,1026.84465231506,1586838
2015-03-16,997.3784790039062,1015.9457442896888,993.3691721943622,1006.2922944563132,1556296
2015-03-17,1005.7085571289062,1014.6613369605864,995.6075049773996,1005.2414745788816,1267318
2015-03-18,996.230224609375,1011.839142713724,993.2523955279208,1008.530507089026,1255170
2015-03-19,1010.5938110351562,1014.3306619843096,999.636423614901,1002.7114712475928,2448964
2015-03-20,1016.3154907226562,1019.0597309296194,1003.8205831265856,1010.4962037789504,1963908
2015-03-23,1018.72900390625,1024.120172435313,1014.388889915023,1018.281402923139,1566608
2015-03-24,1008.6665649414062,1026.4553242120169,1005.0854732224598,1023.7305660514236,2394878
2015-03-25,1001.8352661132812,1017.5026267586662,990.7221254565462,1008.705511712669,2224858
2015-03-26,978.2271118164062,1006.8759396931176,973.5171348465238,993.8749891797864,3091642
2015-03-27,978.8890380859376,1001.115226887232,974.7240688212504,985.194889172216,2751776
2015-03-30,998.0985717773438,1000.3367665031958,980.9131668081852,982.8594230915348,1339006
2015-03-31,994.1283569335938,1000.1617521946872,981.3025453688416,1000.1617521946872,2427028
2015-04-01,989.7297973632812,997.8846882675496,981.7891087162524,995.704842936336,2075758
2015-04-06,991.5398559570312,997.6121192206188,973.1672135949074,995.704825862555,1568542
2015-04-07,1006.2142944335938,1011.663810921822,990.2549961466392,997.4366613693636,1886922
2015-04-08,1028.1680908203125,1034.0458220054506,1008.4915185107694,1009.7176217888722,1652134
2015-04-09,1037.1796875,1046.0935052633845,1025.7356409689432,1035.0193235347233,2544450
2015-04-10,1032.9749755859375,1039.6117250054274,1022.9517610324424,1030.9314075701764,1815544
2015-04-13,1033.65625,1037.354135285257,1022.9518452268876,1036.9648842025983,1308642
2015-04-15,1022.85546875,1056.3894422043177,1015.7126668320884,1033.3457760237886,2913934
2015-04-16,1005.3580932617188,1022.5629785770104,1000.9011856961024,1022.5434970091528,3217570
2015-04-17,963.3387451171876,996.483459679238,961.45083804989,995.3546687728974,9668742
2015-04-20,945.41357421875,966.8612637789796,943.876050593784,965.362703296744,2890722
2015-04-21,944.7323608398438,954.4441615028854,934.5923457456884,945.413550596218,2546032
2015-04-22,951.7581176757812,962.6181878068484,937.1417165617544,946.4642635068144,4186812
2015-04-23,956.4873657226562,965.2649979540248,946.5419800688976,962.2288200494072,4342990
2015-04-24,970.4229125976562,978.5777078231056,952.7119795403964,955.7286769292704,3625158
2015-04-27,973.2060546875,980.913249223524,967.678705384794,972.9335977913483,2733052
2015-04-28,971.1820678710938,977.0208378182144,955.6509778245776,977.0208378182144,3088298
2015-04-29,968.1846923828124,971.1819081229148,954.0743339982612,966.9001441993266,2019620
2015-04-30,958.9984130859376,969.2357413280628,944.7518724615538,965.3432283106812,3738054
2015-05-04,965.9466552734376,974.9967486800616,956.4683473917391,969.6250613290722,1890630
2015-05-05,980.0763549804688,987.316371633459,973.1281817499544,973.5174330226544,3255070
2015-05-06,958.7451171875,978.9666965451188,955.9230461934832,978.9666965451188,3394406
2015-05-07,990.7416381835938,994.0502734550056,955.1056710480416,959.4652655757302,3205028
2015-05-08,983.7355346679688,1007.3825556318936,979.4732511302686,996.483517162924,3003664
2015-05-11,994.92626953125,997.6705100557334,982.8594798773108,986.751992668904,2573082
2015-05-12,982.0419311523438,998.429446632303,978.1883818272815,996.4831904010508,2467386
2015-05-13,979.1229248046876,991.4233069476908,965.5186075025748,991.4233069476908,1863774
2015-05-14,972.836181640625,980.9131450372612,967.289351356188,980.9131450372612,1309050
2015-05-15,977.4681396484376,985.7397278750672,973.517277873002,978.966794822311,1461454
2015-05-18,981.0690307617188,982.95693775707,971.9995506445174,978.6168233667707,4507752
2015-05-19,978.0717163085938,984.805782762352,971.8631771193292,980.6796809956642,1957722
2015-05-20,995.3348999023438,1000.3367213053294,979.7064056339564,980.9131224879284,1897814
2015-05-21,994.7314453125,1004.2680997480924,991.8704109690098,995.3153221146792,1579578
2015-05-22,1019.0208129882812,1023.2442270786272,988.4062400796593,992.5906910320492,2691632
2015-05-25,1012.4421997070312,1026.416277407213,1006.4866383494104,1019.8379712542952,982978
2015-05-26,1015.4983520507812,1021.1035330893192,1007.7327121310574,1013.9996964443632,1961740
2015-05-27,1017.9891357421876,1024.9566937640911,1008.939045920562,1015.1670647225408,1620690
2015-05-28,1015.7510986328124,1021.0059903099702,1005.1440024696608,1013.5712537020644,2763608
2015-05-29,1016.062255859375,1030.9705933239893,1010.9825095454092,1018.6702194553222,4423532
2015-06-01,1018.96240234375,1030.3869639011318,1015.3034788124792,1015.73159814416,882264
2015-06-02,1012.01416015625,1023.7306593271412,1008.3552368771708,1018.2811425094304,3935820
2015-06-03,1016.2957763671876,1022.017844223736,1008.35509102278,1013.6099814797602,1804684
2015-06-04,1014.2526245117188,1020.9283414094076,1007.5770026460866,1018.709627978082,4131468
2015-06-05,1011.9737548828124,1024.9973509295417,1009.6754280908096,1018.31856405112,2308534
2015-06-08,1012.6026000976562,1017.5331369908884,1006.3952359089724,1017.5331369908884,1570320
2015-06-09,1006.3948974609376,1017.532794797207,1002.2108724045077,1015.568445772502,2578914
2015-06-10,1021.7567749023438,1025.390822837688,1007.2402458464276,1008.1045407668612,2763350
2015-06-11,1010.1863403320312,1026.568995123929,1004.47006440226,1023.6224710277064,1847336
2015-06-12,984.4534301757812,1017.120524511328,973.0602028955564,1010.4220734272672,2571456
2015-06-15,984.060546875,990.2089224573688,974.7102240512626,984.2569818254336,2525176
2015-06-16,986.8889770507812,989.7569458885238,979.9940926020632,982.174539262322,1267396
2015-06-17,987.59619140625,993.6266857081904,982.8817534769488,990.424834980734,1975720
2015-06-18,993.98046875,1000.364604362127,985.3176686285984,988.0677578153608,2165046
2015-06-19,1001.6416015625,1003.7827236097976,992.8216903561548,995.9253245991532,1999610
2015-06-22,1018.122314453125,1021.4617085001448,1000.6396044422572,1000.6396044422572,1102002
2015-06-23,1011.482666015625,1024.6044794957347,1008.5753718297296,1021.4615209696742,898318
2015-06-24,1009.7932739257812,1016.7077249099224,1005.2949338641182,1013.604091832132,1170246
2015-06-25,1001.8179931640624,1010.8539985926012,999.5196664606124,1006.5324307789524,1930992
