Date,Close,High,Low,Open,Volume
2015-01-01,367.7708129882813,369.1864578248745,364.5110940115228,366.7556297212937,2002764
2015-01-02,374.9980163574219,376.0877119017288,367.32371656694033,367.32371656694033,6778320
2015-01-05,371.7756042480469,378.1273948554082,368.3482380919063,374.3833793849808,9937024
2015-01-06,364.0081176757813,369.7452316243947,360.2641024976114,368.81388343390506,9667316
2015-01-07,365.7498474121094,367.83605877941375,363.2258840966486,366.01992935893054,7249916
2015-01-08,367.59381103515625,371.9804701412836,363.2257970833765,369.8569917030436,13564920
2015-01-09,386.4070739746094,392.8426996043403,356.3431700615721,368.8325366978037,44863328
2015-01-12,394.1372985839844,394.7426750106284,386.50956470346887,389.6761490889912,12758888
2015-01-13,389.0986633300781,392.61918708785214,386.5095333213576,392.61918708785214,8801236
2015-01-14,396.5028076171875,397.3130986529341,389.7878242106129,390.88679677598793,9921260
2015-01-15,397.5459899902344,401.0013010014768,393.4480577986986,397.7229370578532,8342452
2015-01-16,394.5750427246094,402.3424787043985,393.4015347331896,400.1072427115963,6690960
2015-01-19,391.6319580078125,397.1921255187954,390.160445892258,394.8916770399821,4087744
2015-01-20,395.6739501953125,397.3131320810925,391.4363159923847,392.4701215634609,6804504
2015-01-21,404.1864318847656,405.3133721855266,394.5190567580005,397.033696638186,8494908
2015-01-22,409.1319274902344,410.3520026851079,402.5845680617533,405.0992081145218,9958396
2015-01-23,412.5965270996094,414.4499007064487,403.2923687609687,409.7931602490729,9486328
2015-01-27,397.9651184082031,413.70490427550624,396.77301080509926,413.70490427550624,13739968
2015-01-28,399.4646606445313,401.3739249090066,396.81031764269966,400.4798213289797,13134356
2015-01-29,399.6415100097656,400.4610782300181,396.30730166593736,399.548375190374,15369424
2015-01-30,398.970947265625,402.8174428441671,396.1862250785185,402.6218506154296,10833744
2015-02-02,398.0303955078125,400.8523630517229,396.0186738099371,398.8965313546768,8702540
2015-02-03,395.059326171875,398.6077724918846,391.5388475880508,398.0303637986403,5265956
2015-02-04,399.14794921875,400.479759064312,396.0837770069775,398.59841735459065,5160016
2015-02-05,408.638427734375,413.518684191344,400.1072674067599,400.6288315991373,11875936
2015-02-06,415.4744567871094,418.6969308464036,407.6511314407482,410.7245806839615,7453728
2015-02-09,418.9018249511719,419.8518184183804,409.7932566639028,409.7932566639028,6536868
2015-02-10,424.378173828125,428.04767702070217,417.4303064418597,417.8028457604156,8516920
2015-02-11,425.5982055664063,427.1535297763567,420.2708756667293,424.7879144412083,5796972
2015-02-12,430.5064392089844,432.5088381010188,423.3909471250465,425.25364376879946,6287536
