Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2015-01-01,217.23532104492188,217.7715438970791,215.63808637572177,216.99573862989809,3544940
2015-01-02,220.2586669921875,221.1713725543031,216.85884712937593,216.85884712937593,5900384
2015-01-05,218.39906311035156,221.45661874219482,217.9312903140576,221.33112449819683,4796000
2015-01-06,214.9991912841797,218.26211069077235,213.92675952664453,217.68026371462713,8219680
2015-01-07,215.626708984375,217.07562362747217,213.63016538266783,214.4173767881261,5746112
2015-01-08,220.156005859375,221.0915375059701,216.35687695026266,217.73734145946173,9525824
2015-01-09,222.62034606933594,223.61290799841103,220.55533817547408,221.99286086832,8985184
2015-01-12,220.65798950195312,222.3350944334962,220.07614245500247,221.19421240936452,4126412
2015-01-13,219.81375122070312,221.77607681184483,218.06820994325034,221.09154754379662,5828348
2015-01-14,219.93927001953125,222.39216668186634,218.98092621261094,219.06078239369418,3685232
2015-01-15,226.61338806152344,227.76567604954334,221.50223133761725,225.89462685989295,11398476
2015-01-16,228.4844512939453,231.5762529087491,227.84556010694365,228.67840960590985,7821308
2015-01-19,229.21458435058594,232.73991227779706,228.84950770596075,231.19972168184105,4239492
2015-01-20,232.9567108154297,234.3371753238504,228.6327650189855,230.45817631654228,8505804
2015-01-21,232.72853088378906,235.69481027067818,232.36344027372903,234.42844791428834,6740612
2015-01-22,233.02516174316406,235.59214638904962,232.40908264279494,233.88082329179258,6470680
2015-01-23,237.9423370361328,239.12884305490425,233.743886129342,235.02166826961007,9987912
2015-01-27,245.0728759765625,245.91711752345654,237.50882267130763,237.98798754531677,9962400
2015-01-28,241.49050903320312,249.4424517158525,240.72612359534364,244.14876990238642,11364940
2015-01-29,249.85317993164062,251.13096231308904,242.09518165065816,245.2896515310627,20567616
2015-01-30,245.82586669921875,249.75051793407044,242.83676109275112,249.75051793407044,10570416
2015-02-02,246.79559326171875,249.39680984083572,240.1214334375244,243.80648793680965,5710352
2015-02-03,242.8025665283203,246.93255490083735,240.79463038408576,246.08831313674364,10200688
2015-02-04,243.6239013671875,246.61303412476036,241.23946941999623,242.55148355966514,6197512
2015-02-05,245.6318817138672,249.3511679801749,244.2285913567725,245.28961713182278,8059148
2015-02-06,240.3838348388672,246.19091301557077,239.59663740868004,245.74598018173702,6903120
2015-02-09,237.3262939453125,239.98455486585937,236.04851153670694,238.90071684768697,5231896
2015-02-10,240.6005859375,242.39179290153018,235.02168428213113,235.02168428213113,9275752
2015-02-11,241.5019073486328,242.96224187945407,240.2697492178285,241.41063121791316,4161588
2015-02-12,245.517822265625,246.86406868333376,240.20130066063987,243.03069377419118,5525740
2015-02-13,243.19041442871094,246.88686090902863,242.68840964448393,246.7043086504799,7714500
2015-02-16,243.58969116210938,247.5713576155154,242.43738937003238,245.47214618545317,7388716
2015-02-18,245.24404907226562,247.10366477706953,241.19391725865157,243.58976988078948,5381692
2015-02-19,246.3848876953125,247.54858176381504,242.7340652977739,245.06145343477897,4507004
2015-02-20,244.84471130371094,248.68947829507263,243.8064974823177,247.11505547342074,6206024
2015-02-23,243.5783233642578,246.78421314106404,242.3233530799455,245.7688113807079,5581564
2015-02-24,243.612548828125,244.37693422815354,241.20527656988548,244.21722188315613,5846288
2015-02-25,240.14427185058594,245.2440373277693,239.5852507402858,244.14877932581507,4648524
2015-02-26,236.88133239746094,240.95427551803306,236.18538324435917,240.41806655515936,12426944
2015-02-27,240.49789428710938,241.53610791335944,238.5469751796938,238.5469751796938,10261784
2015-03-02,247.01235961914062,250.7658500549714,243.69238203704228,246.51035485411757,14385232
2015-03-03,247.19491577148438,249.1686473491299,245.7574210566101,247.90225709342886,6029348
2015-03-04,243.07635498046875,253.1161176096979,241.86700879506648,252.13494784768722,12277624
2015-03-05,247.59420776367188,248.71227770203618,242.43742665909488,243.00786766299865,9702452
2015-03-09,241.63880920410156,246.8412423000633,240.95427999955734,245.75740439286832,5755808
2015-03-10,240.16705322265625,242.3803529055992,238.4443104602035,242.32330881218766,5134836
2015-03-11,241.0569305419922,242.3005085510909,239.58520400169255,239.7905683186922,5465536
2015-03-12,240.63479614257812,242.75684754185727,239.83617884123495,241.88976618754597,7530836
2015-03-13,237.90814208984375,242.77970292653805,236.07131082759156,241.8669972764383,5426780
2015-03-16,239.93894958496094,241.38786442613082,237.8739416360451,238.44438274308598,5348772
2015-03-17,241.4220733642578,243.2132526982741,237.9537750531506,241.86700624375112,5369304
2015-03-18,242.677001953125,244.58226917003674,240.31535411914825,241.9011966844578,5148332
2015-03-19,240.08721923828125,245.01585221891258,239.28860176410433,244.37694709814423,5373572
2015-03-20,240.93148803710938,241.75291758040206,238.6611159404246,239.81341800566548,6483236
2015-03-23,239.07183837890625,241.73009917950665,238.67252965338673,240.942873837057,5446740
2015-03-24,236.83567810058594,241.18244956771147,236.26523711296127,238.0564440969538,8973564
2015-03-25,235.99147033691406,238.83225572020973,235.27270901898146,237.31490475893494,10608900
2015-03-26,229.7622528076172,235.52369358371058,228.65558879574684,234.31437524930652,35800620
2015-03-27,231.51918029785156,233.5499418181651,230.02461379796495,231.58763042967666,10840896
2015-03-30,236.59609985351562,237.07526469267276,231.09704060322792,232.7399133652803,6955144
2015-03-31,233.3560333251953,237.28067063219598,231.56484002756082,237.28067063219598,5962256
2015-04-01,235.76327514648438,236.5847046500779,231.1427028535095,234.13180824763444,3844196
2015-04-06,235.4666290283203,236.58469897892746,232.69429407506047,236.1625782021294,7151172
2015-04-07,235.649169921875,236.89272012256933,233.57277031583723,235.76325811839973,6197072
2015-04-08,236.2880859375,237.86248083980854,235.03311571744456,237.314879753909,4106144
2015-04-09,240.97706604003906,241.63878310366985,235.0216681744853,236.90412328364988,7002784
